Target,Feature,Importance
Z01_T,time,0.04243068373100787
Z01_T,-time,0.02930001851667548
Z01_T,Z03_T,0.020362809889017622
Z01_T,Ext_P,0.01917849315843632
Z01_T,-Ext_P,0.019140739974895588
Z01_T,P2_T_Thermostat_sp_out,0.018850736768457183
Z01_T,Z05_E_Appl,0.018527413608298845
Z01_T,Z03_E_Appl,0.016747877407826926
Z01_T,-Z01_RH,0.01574169084537724
Z01_T,-Bd_FracCh_Bat,0.015065981108592592
Z01_T,-Z08_RH,0.014147951827354432
Z01_T,Z03_RH,0.013982623894148668
Z01_T,Ext_T,0.013512711094892318
Z01_T,Z05_T,0.013487506928859807
Z01_T,-Z07_E_Appl,0.013469000514591255
Z01_T,-Bd_Pw_Bat_sp_out,0.013397127074103583
Z01_T,Fa_E_HVAC,0.013188976882307154
Z01_T,-Z02_T,0.012798792910836127
Z01_T,Z07_RH,0.012754441963003007
Z01_T,-P4_T_Tank_sp_out,0.012747620466026661
Z01_T,Z01_T,0.01188958428128596
Z01_T,-Z01_E_Appl,0.011626155370752235
Z01_T,Z04_T,0.011289534800168526
Z01_T,-P1_T_Tank_sp_out,0.011076119563693601
Z01_T,-Z07_RH,0.010018690224058793
Z01_T,Bd_T_HP_return,0.009835442154448518
Z01_T,-Fa_Pw_All,0.009362493372780636
Z01_T,-Fa_E_Appl,0.008830406386402678
Z01_T,-HVAC_onoff_HP,0.00867265105855231
Z01_T,Z02_RH,0.008657199526451637
Z01_T,-P2_T_Tank_sp_out,0.008461953234238968
Z01_T,-P3_FlFrac_HW,0.00816668054227529
Z01_T,Z04_RH,0.00816510429999589
Z01_T,Fa_EDCh_Bat,0.008095734882757324
Z01_T,-Z06_RH,0.007870763096148477
Z01_T,-Fa_EDCh_Bat,0.00787067458242132
Z01_T,Bd_T_HP_supply,0.007665072137559278
Z01_T,-Z05_RH,0.007389503980867981
Z01_T,-P3_T_Tank,0.0067294027383372965
Z01_T,Bd_DisCh_EVBat,0.0065733638133816125
Z01_T,-P3_T_Tank_sp_out,0.006407710842916276
Z01_T,P1_T_Thermostat_sp_out,0.005654039047182008
Z01_T,Fa_ECh_Bat,0.0056517433458353255
Z01_T,Z06_T,0.005552328677083062
Z01_T,Ext_RH,0.0052220175613873435
Z01_T,-Bd_T_HP_return,0.005217652263735937
Z01_T,-Fa_E_HVAC,0.005174199383948692
Z01_T,P1_T_Tank_sp_out,0.005146331627316405
Z01_T,-Bd_T_HP_sp_out,0.005114336252831072
Z01_T,P2_T_Tank_sp_out,0.005114074378890374
Z01_T,P3_T_Tank_sp_out,0.005074208186302936
Z01_T,Z05_RH,0.005066722492171525
Z01_T,Fa_E_self,0.004980199184491205
Z01_T,-P1_T_Tank,0.0049784877314102745
Z01_T,P4_T_Tank_sp_out,0.00493960137226175
Z01_T,Z07_T,0.00472606916928965
Z01_T,-P4_T_Tank,0.004617312770478085
Z01_T,Bd_Pw_Bat_sp_out,0.0046127767340929495
Z01_T,Z02_T,0.004603345203725967
