Bd_Ch_EVBat_sp_out,Bd_DisCh_EVBat,Bd_E_HW,Bd_Fl_HP,Bd_FracCh_Bat,Bd_FracCh_EVBat,Bd_Frac_Vent_sp_out,Bd_Pw_Bat_sp_out,Bd_T_HP_return,Bd_T_HP_sp_out,Bd_T_HP_supply,Ext_Irr,Ext_P,Ext_RH,Ext_T,Fa_ECh_Bat,Fa_ECh_EVBat,Fa_EDCh_Bat,Fa_EDCh_EVBat,Fa_E_All,Fa_E_Appl,Fa_E_HVAC,Fa_E_Light,Fa_E_self,Fa_Pw_All,Fa_Pw_Prod,Fa_Stat_EV,HVAC_Pw_HP,HVAC_onoff_HP,P1_FlFrac_HW,P1_T_Tank,P1_T_Tank_sp_out,P1_T_Thermostat_sp_out,P2_FlFrac_HW,P2_T_Tank,P2_T_Tank_sp_out,P2_T_Thermostat_sp_out,P3_FlFrac_HW,P3_T_Tank,P3_T_Tank_sp_out,P3_T_Thermostat_sp_out,P4_FlFrac_HW,P4_T_Tank,P4_T_Tank_sp_out,P4_T_Thermostat_sp_out,Z01_E_Appl,Z01_RH,Z01_T,Z02_E_Appl,Z02_RH,Z02_T,Z03_E_Appl,Z03_RH,Z03_T,Z04_E_Appl,Z04_RH,Z04_T,Z05_E_Appl,Z05_RH,Z05_T,Z06_E_Appl,Z06_RH,Z06_T,Z07_E_Appl,Z07_RH,Z07_T,Z08_E_Appl,Z08_RH,Z08_T
0,0,13.37112091,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,90.5,5.22,0,0,0,0,977.5840444387755,0,977.5840444387755,0,977.5840444387755,18367.34693877551,0,0,0,0,0,51.43119561328567,30,16,0,51.43119561328567,27,17.5,0,51.43119561328567,32,16.5,0,51.43119561328567,26,17,0,36.29050813278361,19.82713480820413,0,38.31651888270851,19.29696446459154,0,36.27827512266521,19.89266590668627,0,39.25225244289432,19.41809457833213,0,37.08264823,19.50247889823991,0,37.78917772679791,19.77724137918192,0,36.63204057463258,19.71299368595963,0,38.65902245495219,19.41327695722353
0,0,13.83916489155247,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,89.25,5.33,0,0,0,0,918.3673469387755,0,918.3673469387755,0,918.3673469387755,11934.33888918747,0,0,0,0,0,52.32519546888709,30,16,0,52.32519546888709,27,17.5,0,52.32519546888709,32,16.5,0,52.32519546888709,26,17,0,36.40796845822042,19.69415896,0,38.59402456,19.11046441090972,0,36.37967806994156,19.76070616266925,0,39.34006779533563,19.31759476104501,0,37.08725821030879,19.41911052622399,0,37.92196811953838,19.65837445695724,0,36.68014580325608,19.60882869561016,0,38.78446017053078,19.29401222915249
0,0,14.27778281306684,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,88,5.44,0,0,0,0,596.7169444593734,0,596.7169444593734,0,596.7169444593734,0,0,0,0,0,0,52.51419637530645,30,16,0,52.51419637530645,27,17.5,0,52.51419637530645,32,16.5,0,52.51419637530645,26,17,0,36.51965760099651,19.56172563419922,0,38.82984441003352,18.93693713,0,36.47698802812331,19.62910196754255,0,39.49429815504845,19.18440379423691,0,37.14743433537091,19.30845081400227,0,38.13706641722383,19.49908400960772,0,36.79655477764086,19.47155170383925,0,38.97203458357234,19.14359789272918
0,0,14.37095949257752,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,86.75,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.49873483594834,30,16,0,52.49873483594834,27,17.5,0,52.49873483594834,32,16.5,0,52.49873483594834,26,17,0,36.60718703251264,19.43811806782492,0,39.03184777873377,18.77322030273091,0,36.55158126506131,19.50623510625468,0,39.64504195266309,19.04737845460489,0,37.21218988060848,19.19359097126672,0,38.33754033036502,19.34072515016317,0,36.90802346414227,19.33465890009195,0,39.15452182231444,18.99049327801794
0,0,14.36395563779973,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,85.5,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.48328080901277,30,16,0,52.48328080901277,27,17.5,0,52.48328080901277,32,16.5,0,52.48328080901277,26,17,0,36.67255294367256,19.32224389422031,0,39.20516922573361,18.61733350604431,0,36.60536726838072,19.39100104266056,0,39.76673788667042,18.91693003141504,0,37.26342160780572,19.08262108361278,0,38.49801586363547,19.19392542699986,0,36.99519566933358,19.20677067166691,0,39.30718044499532,18.84499563846066
0,0,14.35695536030113,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,84.25,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.46783429069784,30,16,0,52.46783429069784,27,17.5,0,52.46783429069784,32,16.5,0,52.46783429069784,26,17,0,36.72070861454097,19.21168487444727,0,39.35230921066356,18.46833835163869,0,36.64326475181024,19.28094488812784,0,39.85692221549235,18.79417725238237,0,37.29817399066649,18.97671221163655,0,38.62137213631313,19.05757809975243,0,37.05943908671569,19.08703115189324,0,39.42749976233895,18.70819510292739
0,0,14.34995865809693,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,83,5.880000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.45239528,30,16,0,52.45239528,27,17.5,0,52.45239528,32,16.5,0,52.45239528,26,17,0,36.75475789402285,19.10488851908765,0,39.47452065053005,18.32576385402795,0,36.66840314372573,19.17445914327228,0,39.91970482681198,18.67770227068161,0,37.31794149423985,18.87502362,0,38.71517149934856,18.92876690249699,0,37.10543012814342,18.97312159,0,39.51931092410332,18.57865597303075
0,0,14.34296552920223,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,81.75,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.43696376469825,30,16,0,52.43696376469825,27,17.5,0,52.43696376469825,32,16.5,0,52.43696376469825,26,17,0,36.77630442105327,19.00100697045412,0,39.57269415489638,18.18926480647913,0,36.68229013678199,19.07069846954561,0,39.95900762850768,18.56618207657598,0,37.32379694422057,18.77691413691837,0,38.78450479746925,18.80561164316094,0,37.13611551062495,18.86353949179525,0,39.58625955420772,18.45504545552744
0,0,14.33597597,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,80.5,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.42153975,30,16,0,52.42153975,27,17.5,0,52.42153975,32,16.5,0,52.42153975,26,17,0,36.78551595,18.89984118885211,0,39.64768009314421,18.05849937400149,0,36.68434896821159,18.96975832341719,0,39.97741114650588,18.45879074362275,0,37.31586709988903,18.68217981786145,0,38.83193591173411,18.68723445,0,37.15280531463192,18.75754578236342,0,39.63063514873595,18.33656368563932
0,0,14.32898998336574,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,79.25,6.210000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.40612322742505,30,16,0,52.40612322742505,27,17.5,0,52.40612322742505,32,16.5,0,52.40612322742505,26,17,0,36.78153254877175,18.80164937212678,0,39.70034993,17.93311414959841,0,36.67371598474276,18.87187245538612,0,39.97627989359155,18.35513809826219,0,37.29387177160157,18.59081323488282,0,38.85882945942141,18.57319776872956,0,37.15568235435265,18.65491724350521,0,39.65385111092789,18.22273362
